model,type,dataset,learning_rate,dropout_rate,val_loss,val_accuracy,num_neurons
Simple_Linear_Meta,mass,clean,0.01,0.2,2.368203989453237,0.7361963190184049,
Simple_Linear_Meta,mass,clean,0.001,0.2,1.0496619340594242,0.7300613496932515,
Simple_Linear_Meta,mass,clean,0.001,0.1,0.6801839881280268,0.7392638036809815,
Simple_Linear_Meta,mass,clean,0.01,0.1,1.0165033864478146,0.7822085889570553,
Linear_Meta,mass,clean,0.0044152571795939635,0.14092402751976843,0.5981033620720898,0.7699386503067485,256.0
Linear_Meta,mass,clean,0.00016913021888404053,0.14930613960962713,1.4749411679239888,0.6012269938650306,256.0
Linear_Meta,mass,clean,0.00046387475818459917,0.1220782205889536,0.6891647901484799,0.7269938650306749,128.0
Linear_Meta,mass,clean,0.0018178363911875862,0.17335086812772527,0.4882504668538318,0.8006134969325154,32.0
Linear_Meta,mass,clean,0.0003415568448137244,0.16130289469930578,1.6084386074463979,0.6411042944785276,32.0
Linear_Meta,mass,clean,0.0006154192593189682,0.14888782675117584,0.5564427548652571,0.7484662576687117,128.0
Linear_Meta,mass,clean,0.0013439694454015357,0.1403172431027259,0.55920317103543,0.7668711656441718,256.0
Linear_Meta,mass,clean,0.00014585405376091114,0.1554965913449689,1.0150910702577676,0.6165644171779141,64.0
Linear_Meta,mass,clean,0.00022437970272089704,0.14689650645931013,0.8292721303913629,0.6901840490797546,32.0
Linear_Meta,mass,clean,0.0002679015542669364,0.1348028312348329,0.913263661423998,0.6840490797546013,64.0
Linear_Meta,mass,clean,0.002221343870416339,0.18857926070575756,0.5056351230790218,0.7852760736196319,16.0
Linear_Meta,mass,clean,0.0023772395470317387,0.1903975553547285,0.5319536606019194,0.7975460122699386,16.0
Linear_Meta,mass,clean,0.006510583693108719,0.19039831071437885,0.6024994351230843,0.7760736196319018,16.0
Linear_Meta,mass,clean,0.0015256261379857031,0.17571262343662924,0.541489807680729,0.7699386503067485,16.0
Linear_Meta,mass,clean,0.0031180347630846037,0.17397325495609783,0.5600412717357165,0.7822085889570553,32.0
Linear_Meta,mass,clean,0.0009502645628036051,0.19992438870604545,0.5368097507197297,0.7730061349693251,32.0
Simple_Linear,mass,clean,0.01,0.2,136.99156261717573,0.5014749262536873,
Simple_Linear,mass,clean,0.001,0.2,10.917573950636912,0.5073746312684366,
Simple_Linear,mass,clean,0.001,0.1,12.35000828472998,0.5486725663716814,
Simple_Linear,mass,clean,0.01,0.1,81.9292581445398,0.6135693215339233,
Linear,mass,clean,0.0016863833736298294,0.10792292801996087,0.844855892307618,0.528023598820059,16.0
Linear,mass,clean,0.0012481090586536783,0.15778300655961935,0.738704354447477,0.5634218289085545,16.0
Linear,mass,clean,0.0002053641770471519,0.19864696662431677,1.8791243764845764,0.5103244837758112,128.0
Linear,mass,clean,0.006778553407394181,0.12663815889304855,178.5988106026369,0.4218289085545723,256.0
Linear,mass,clean,0.0001700681694728853,0.14623567357943654,1.9006038596305777,0.5486725663716814,64.0
