model,type,dataset,learning_rate,dropout_rate,train_loss,val_loss,val_accuracy,num_neurons
Simple_Linear_Meta,calc,clean,0.01,0.2,"[15.3615739376935, 8.301104612129318, 5.927247059893044, 6.309048065082087, 7.5615008121796725, 19.56161211854966, 22.481554615065697, 10.84076906458856, 7.521502199621892, 5.756269677427405]",3.7711669573479374,0.6260869565217392,
Simple_Linear_Meta,calc,clean,0.001,0.2,"[43.88107356891869, 7.926994598991243, 3.5196613069039464, 3.4196887777869516, 2.1983247894999103, 1.7788081613733717, 1.189040003217155, 0.8601204348924738, 0.7107347273585959, 0.7294444106750607]",0.7496762126684189,0.6086956521739131,
Simple_Linear_Meta,calc,clean,0.001,0.1,"[20.3501650178913, 9.466434079474737, 6.444477682685721, 4.628143562906969, 3.335383617434859, 2.4240842743528, 1.8980655593236095, 1.1877213219724456, 1.0330647847019367, 0.6969642401296899]",0.9044406822194224,0.6,
Simple_Linear_Meta,calc,clean,0.01,0.1,"[11.987494524893993, 4.262805933737259, 9.036338889747293, 8.505879615084268, 10.907945575686956, 14.5368329753436, 7.847249188224822, 9.203865923464278, 22.18300716783856, 13.548669856699782]",2.131434890401104,0.5304347826086957,
Linear_Meta,calc,clean,0.01,0.1,,1.4587791416713076,0.7130434782608696,64.0
Linear_Meta,calc,clean,0.01,0.2,,1.4274962533103384,0.6,128.0
Linear_Meta,calc,clean,0.001,0.1,,1.8649124555775654,0.5782608695652174,32.0
Linear_Meta,calc,clean,0.001,0.2,,0.7291192749272222,0.6086956521739131,32.0
Linear_Meta,calc,clean,0.01,0.1,,1.023119908636031,0.6391304347826087,128.0
Linear_Meta,calc,clean,0.001,0.1,,0.8038948288430339,0.6260869565217392,128.0
Linear_Meta,calc,clean,0.01,0.2,,1.0222699302046194,0.6695652173913044,32.0
Linear_Meta,calc,clean,0.001,0.2,,1.7358095675058987,0.5652173913043478,32.0
Simple_Linear,calc,clean,0.01,0.2,"[240.91137732621974, 376.25706277029377, 257.37942013547047, 167.26541641182715, 167.4967804196127, 177.3263603633287, 109.24351255822206, 155.41651596963106, 133.0691055881818, 116.24518946567052]",124.75321240807534,0.56957928802589,
Simple_Linear,calc,clean,0.001,0.2,"[30.82385901917515, 18.476490626339324, 16.763843149329436, 16.437410172817724, 19.404549958921447, 17.33268965710466, 14.901270659073337, 16.74800261431075, 15.293722191415752, 14.790831905298186]",16.72268635973644,0.656957928802589,
Simple_Linear,calc,clean,0.001,0.1,"[20.4882442641197, 16.402443815091754, 14.835776422913137, 16.858380537393327, 9.007150083567492, 10.253317530639444, 7.332951370669336, 9.733874599031706, 12.540647874765792, 11.391926511199154]",13.855165492314717,0.6407766990291263,
Simple_Linear,calc,clean,0.01,0.1,"[210.27633580658843, 172.50499334279507, 183.21441522762524, 180.92610327985784, 146.11739106038482, 151.5221298602533, 124.94496826146336, 122.70054972582071, 138.6999186912819, 85.81913494615395]",102.22376193497105,0.627831715210356,
Linear,calc,clean,0.001,0.1,,1.0495229543697449,0.6343042071197411,64.0
Linear,calc,clean,0.001,0.2,,0.9862198702269985,0.5954692556634305,32.0
Linear,calc,clean,0.001,0.1,,0.924511116238371,0.6310679611650486,64.0
Linear,calc,clean,0.01,0.2,,37.57056320075388,0.656957928802589,64.0
Linear,calc,clean,0.01,0.2,,115.84924023601803,0.6245954692556634,128.0
Linear,calc,clean,0.001,0.2,,0.9422784049905115,0.6731391585760518,32.0
Linear,calc,clean,0.01,0.2,,97.5071354942937,0.6634304207119741,64.0
Linear,calc,clean,0.001,0.1,,0.7281885043747963,0.6763754045307443,32.0
Simple_Linear_Meta,calc,prop,0.01,0.2,"[28.85656915135589, 7.847906550514455, 5.032340904295265, 2.666600440791338, 14.485131221275013, 21.0053424454641, 6.639321859372673, 4.492843362066739, 12.887305531266104, 6.49091608582856]",1.1359609942073408,0.6521739130434783,
Simple_Linear_Meta,calc,prop,0.001,0.2,"[13.244059045648422, 3.906504378732155, 2.2999377927239637, 1.074688932910469, 0.7964878028594189, 0.7535077845272811, 0.8011447449926263, 0.7981311250362337, 0.7615974924486616, 0.7415226051896255]",0.638949648193691,0.6434782608695652,
Simple_Linear_Meta,calc,prop,0.001,0.1,"[41.30237029328861, 16.733649970023077, 5.407880303117157, 2.712572419792975, 1.2045563000640456, 0.7463920669317801, 0.5844275811744958, 0.5255649589140963, 0.640382389953036, 0.5640634915195637]",0.9702128100654354,0.6304347826086957,
Simple_Linear_Meta,calc,prop,0.01,0.1,"[25.300221166542915, 3.863178508510229, 3.462834130492501, 5.344060694208797, 11.520227718349078, 8.376498836066334, 7.324864279264399, 10.85853865059694, 9.447778695514385, 6.939873728011136]",1.8525996455193863,0.5826086956521739,
Linear_Meta,calc,prop,0.01,0.2,,0.8806517804446428,0.6391304347826087,32.0
Linear_Meta,calc,prop,0.01,0.1,,1.0671269320275472,0.6739130434782609,64.0
Linear_Meta,calc,prop,0.001,0.1,,0.6594958583945814,0.6478260869565218,32.0
Linear_Meta,calc,prop,0.001,0.1,,0.7690225182020146,0.6173913043478261,64.0
Linear_Meta,calc,prop,0.001,0.1,,0.74021075244831,0.5869565217391305,32.0
Linear_Meta,calc,prop,0.001,0.1,,1.86738898795422,0.6173913043478261,32.0
Linear_Meta,calc,prop,0.01,0.2,,1.1974309256867222,0.6304347826086957,64.0
Linear_Meta,calc,prop,0.001,0.1,,0.6477828508485919,0.6391304347826087,64.0
