model,type,dataset,learning_rate,dropout_rate,num_neurons,stride,kernel_size,val_loss,val_accuracy
SimpleCNN,calc,dist,0.001719501042559778,0.18773480072215099,64,4,32,0.614344664398701,0.6747572815533981
SimpleCNN,calc,dist,0.00012588289832408841,0.1861800359938387,64,4,8,0.6644214189821674,0.6229773462783171
SimpleCNN,calc,dist,0.00024808689213748125,0.18341480534178484,64,2,32,0.6668735747375796,0.6553398058252428
SimpleCNN,calc,dist,0.0003593320453391327,0.15758217607267402,128,4,8,0.6043334286059102,0.6585760517799353
SimpleCNN,calc,dist,0.009819769411925519,0.17617719929911163,128,8,32,0.6250085573523275,0.6521035598705501
SimpleCNN,calc,dist,0.002781804210349108,0.13891446412177347,16,8,16,0.5949834839951608,0.6650485436893204
SimpleCNN,calc,dist,0.002299819632115555,0.13656194792533888,16,8,16,0.6034118125755941,0.6601941747572816
SimpleCNN,calc,dist,0.002972849608821477,0.13485718710219888,16,8,2,0.629310317337513,0.6343042071197411
SimpleCNN,calc,dist,0.0007292925440676109,0.10083738720647376,32,8,16,0.5991430522934083,0.6731391585760518
SimpleCNN,calc,dist,0.00994968431174499,0.13939784193097862,16,8,16,0.6208937446917256,0.656957928802589
SimpleCNN,calc,dist,0.004061646758066263,0.12008865140498641,16,8,16,0.6481068083836187,0.6423948220064725
SimpleCNN_Meta,calc,dist,0.0014171840130105477,0.16588961067145275,64,2,16,0.6449669046748069,0.6601731601731602
SimpleCNN_Meta,calc,dist,0.0002804997158960447,0.18638174314932776,32,2,2,4.6510612696249,0.5021645021645021
SimpleCNN_Meta,calc,dist,0.0011211687384714939,0.10649648477469792,16,2,16,1.899073551338847,0.6060606060606061
SimpleCNN_Meta,calc,dist,0.0012502196308093194,0.19220920292960683,32,4,32,0.7354315740446891,0.6082251082251082
SimpleCNN_Meta,calc,dist,0.005217330275433703,0.11256980649656768,16,8,16,0.7314485874707981,0.6233766233766234
SimpleCNN_Meta,calc,dist,0.0006712525990210613,0.1121328253375908,64,4,2,0.6463312859176308,0.5930735930735931
SimpleCNN_Meta,calc,dist,0.00012744888371695435,0.10480139558729201,32,4,32,0.9070098690928952,0.6341991341991342
SimpleCNN_Meta,calc,dist,0.00017552100993403533,0.15629861154601607,128,4,2,25.638999626200686,0.4199134199134199
SimpleCNN_Meta,calc,dist,0.00251466540915455,0.12040295755985189,16,4,16,0.5545716892967942,0.6861471861471862
SimpleCNN_Meta,calc,dist,0.0007799208732709932,0.14028393612152365,16,4,2,0.6709868199722742,0.5909090909090909
SimpleCNN_Meta,calc,dist,0.008083333613922014,0.13374873793526787,128,8,8,0.7491557736710835,0.6904761904761905
SimpleCNN_Meta,calc,dist,0.0029639197276154824,0.16806541482680512,64,2,16,0.6798562175163658,0.6233766233766234
SimpleCNN_Meta,calc,dist,0.0024693018335736248,0.17191335692811666,64,2,16,0.6516051672158703,0.6753246753246753
SimpleCNN_Meta,calc,dist,0.002248420690147869,0.129708292931815,64,2,16,0.5989319807098757,0.6774891774891775
SimpleCNN_Meta,calc,dist,0.0026709611107052235,0.1280458577732069,16,8,8,0.6661188345282308,0.6125541125541125
SimpleCNN_Meta,calc,dist,0.00044786407975430913,0.1239885744868517,64,4,16,1.3497739754897613,0.5865800865800865
